Internal Reference,Name,aw_mfg_part_no,Product Category,Description,Manufacturer,Company,,,
0018-0000946-00-0063,5-569532-2,5-569532-2,Connector=CPC/D-Sub/IDC/BNC,MODULAR 8P RND STRD SHLD,Amp / Tyco,All World Connect,,,
0018-0000947-00-0063,5-569550-3,5-569550-3,Connector=CPC/D-Sub/IDC/BNC,MODULAR 8P RND SOLID SHLD,Amp / Tyco,All World Connect,,,
0018-0000951-00-0063,5-640441-0,5-640441-0,Connector=CPC/D-Sub/IDC/BNC,"MTA-100,20P 24AWG WHT",Amp / Tyco,All World Connect,,,
0018-0000952-00-0063,5-640441-2,5-640441-2,Connector=CPC/D-Sub/IDC/BNC,"MTA-100,22P 24AWG WHT",Amp / Tyco,All World Connect,,,
0018-0000953-00-0063,5-640441-4,5-640441-4,Connector=CPC/D-Sub/IDC/BNC,"MTA-100,24P 24AWG WHT",Amp / Tyco,All World Connect,,,
0018-0000954-00-0063,5-641193-0,5-641193-0,Connector=CPC/D-Sub/IDC/BNC,MTA CONN 20P 28AWG GRN,Amp / Tyco,All World Connect,,,
0018-0000955-00-0063,5-641334-3,5-641334-3,Connector=CPC/D-Sub/IDC/BNC,MODULAR PLUG 4P4C 26~28GA,Amp / Tyco,All World Connect,,,
0018-0000957-00-0063,5-641337-2,5-641337-2,Connector=CPC/D-Sub/IDC/BNC,MODULAR PLUG 6P6C RJ12,Amp / Tyco,All World Connect,,,
0020-0000180-01-0063,5-66507-7,5-66507-7,Contact Terminal,TERM PIN #28~24 G30,Amp / Tyco,All World Connect,,,
0076-0000078-00-0063,5-745136-1,5-745136-1,Screw / Standoff Screw,"RETAINER, MALE SCREW SST",Amp / Tyco,All World Connect,,,
0018-0000717-00-0063,5-747904-2,5-747904-2,Connector=CPC/D-Sub/IDC/BNC,"D-SUB 9POS,MALE,SOLDER",Amp / Tyco,All World Connect,,,
0018-0000968-00-0063,5-747905-2,5-747905-2,Connector=CPC/D-Sub/IDC/BNC,D-SUB RCPT 9P,Amp / Tyco,All World Connect,,,
0018-0000969-00-0063,5-747908-2,5-747908-2,Connector=CPC/D-Sub/IDC/BNC,D-SUB 15POS MALE SOLDER,Amp / Tyco,All World Connect,,,
0018-0000970-00-0063,5-747909-2,5-747909-2,Connector=CPC/D-Sub/IDC/BNC,D-SUB RCPT 15P SOLDER,Amp / Tyco,All World Connect,,,
0018-0000971-00-0063,5-747912-2,5-747912-2,Connector=CPC/D-Sub/IDC/BNC,D-SUB PLUG 25P SOLDER,Amp / Tyco,All World Connect,,,
0018-0000973-00-0063,5-747913-2,5-747913-2,Connector=CPC/D-Sub/IDC/BNC,D-SUB RCPT 25P SOLDER,Amp / Tyco,All World Connect,,,
0018-0000974-00-0063,5-747916-2,5-747916-2,Connector=CPC/D-Sub/IDC/BNC,"D-SUB 37POS,MALE,SOLDER",Amp / Tyco,All World Connect,,,
0018-0000976-00-0063,5-747917-2,5-747917-2,Connector=CPC/D-Sub/IDC/BNC,D-SUB RCPT 37P SOLDER,Amp / Tyco,All World Connect,,,
0018-0000981-00-0063,5-749877-7,5-749877-7,Connector=CPC/D-Sub/IDC/BNC,"CONN,68POS,RCPT,P1.27 RIB",Amp / Tyco,All World Connect,,,
0040-0000082-00-0063,5-794630-4,5-794630-4,Header,"HEADER,24 POS,PITCH 3MM",Amp / Tyco,All World Connect,,,
0055-0000059-00-0063,5023-167,5023-167,Motor/Motor Encoder/Motor Gear,STEP MOTOR AMP,Amp / Tyco,All World Connect,,,
0007-0000041-00-0063,50836,50836,Cable Lug,"RING LUG,#8,TFE,BLK,16GA",Amp / Tyco,All World Connect,,,
0020-0001221-00-0063,51565-1,51565-1,Contact Terminal,TERM SUB MIN SOCKET,Amp / Tyco,All World Connect,,,
0007-0000042-00-0063,51864,51864,Cable Lug,TERM PIDG R 16-14 6,Amp / Tyco,All World Connect,,,
0007-0000185-00-0063,51864-1,51864-1,Cable Lug,"RING LUG,AWG16~14,BLU,NYL",Amp / Tyco,All World Connect,,,
0007-0000186-00-0063,51864-2,51864-2,Cable Lug,"RING LUG,AWG16~14,BLU,NYL",Amp / Tyco,All World Connect,,,
0007-0000946-00-0063,51864-9,51864-9,Cable Lug,"RING LUG,AWG14,GRN STRIPE",Amp / Tyco,All World Connect,,,
0007-0000187-00-0063,52042-1,52042-1,Cable Lug,RING #1/4 6GA ID6.73 OD12.7 9,Amp / Tyco,All World Connect,,,
0007-0001105-00-0063,52042-3,52042-3,Cable Lug,RING #1/4 6GA ID6.73 OD12.7 11,Amp / Tyco,All World Connect,,,
0018-0000907-00-0063,5205207-1,5205207-1,Connector=CPC/D-Sub/IDC/BNC,D-SUB RCPT 25P SZ:3,Amp / Tyco,All World Connect,,,
0018-0000908-00-0063,5205208-1,5205208-1,Connector=CPC/D-Sub/IDC/BNC,D-SUB PLUG 25P SZ:3,Amp / Tyco,All World Connect,,,
0012-0000047-00-0063,5205729-1,5205729-1,"Covers, Clamp/Backshell/MTA","BACKSHELL KIT,HD-20,9POS",Amp / Tyco,All World Connect,,,
0012-0000030-00-0063,5205731-1,5205731-1,"Covers, Clamp/Backshell/MTA","BACKSHELL KIT,37POS,SIZE4",Amp / Tyco,All World Connect,,,
0012-0000048-00-0063,5205732-1,5205732-1,"Covers, Clamp/Backshell/MTA",CLAMP 50P SZ:5,Amp / Tyco,All World Connect,,,
0093-0000018-00-0063,5205817-1,5205817-1,Thumbs crew / Jackscrew,SCR KIT HEX 4-40 4WAS Y/Z,Amp / Tyco,All World Connect,,,
0093-0000019-00-0063,5205817-3,5205817-3,Thumbs crew / Jackscrew,SCR KIT HEX 4-40 4WAS C/Z,Amp / Tyco,All World Connect,,,
0093-0000020-00-0063,5205817-8,5205817-8,Thumbs crew / Jackscrew,SCR KIT HEX 4-40 6WAS Y/Z,Amp / Tyco,All World Connect,,,
0093-0000021-00-0063,5205980-3,5205980-3,Thumbs crew / Jackscrew,SCR RETAINER KIT 4-40 5.59 Y/Z,Amp / Tyco,All World Connect,,,
0093-0000022-00-0063,5205980-5,5205980-5,Thumbs crew / Jackscrew,SCR RETAINER KIT 4-40 5.59 C/Z,Amp / Tyco,All World Connect,,,
0012-0000034-00-0063,5206393-1,5206393-1,"Covers, Clamp/Backshell/MTA","CLAMP SZ:2 ID:.32""",Amp / Tyco,All World Connect,,,
0100-0000149-00-0063,5206473-3,5206473-3,Washer / Flat Ring / C-Clip,"WASHER,SADDLE & HDWR FOR D-SUB",Amp / Tyco,All World Connect,,,
0012-0000049-00-0063,5206478-1,5206478-1,"Covers, Clamp/Backshell/MTA",CLAMP SZ:1 DIA:6.5MM 45DE,Amp / Tyco,All World Connect,,,
0012-0000050-00-0063,5206478-3,5206478-3,"Covers, Clamp/Backshell/MTA","CLAMP SZ:3 PLASTIC,90/45,",Amp / Tyco,All World Connect,,,
0012-0000393-00-0063,5206478-4,5206478-4,"Covers, Clamp/Backshell/MTA",CLAMP ASSY 37 POS STR 45 DEG,Amp / Tyco,All World Connect,,,
0076-0000072-00-0063,5206514-1,5206514-1,Screw / Standoff Screw,"LOCKING POST KIT L:0.41""",Amp / Tyco,All World Connect,,,
0018-0000909-00-0063,5207661-3,5207661-3,Connector=CPC/D-Sub/IDC/BNC,D-SUB RCPT 37P CRIMP #4-40,Amp / Tyco,All World Connect,,,
0093-0000023-00-0063,5207719-1,5207719-1,Thumbs crew / Jackscrew,"SCREWLOCK KIT 0.56"" #4-40 YEL",Amp / Tyco,All World Connect,,,
0093-0000024-00-0063,5207719-3,5207719-3,Thumbs crew / Jackscrew,"SCREWLOCK KIT 0.56"" #4-40 CLR",Amp / Tyco,All World Connect,,,
0093-0000025-00-0063,5207871-1,5207871-1,Thumbs crew / Jackscrew,SCR RETAINER KIT M3 5.72 Y/Z,Amp / Tyco,All World Connect,,,
0012-0000051-00-0063,5207908-1,5207908-1,"Covers, Clamp/Backshell/MTA",CLAMP 9P SZ:1 BLK,Amp / Tyco,All World Connect,,,
0012-0000052-00-0063,5207908-4,5207908-4,"Covers, Clamp/Backshell/MTA",CLAMP 15P SZ:2 BLK,Amp / Tyco,All World Connect,,,
0012-0000053-00-0063,5207908-7,5207908-7,"Covers, Clamp/Backshell/MTA",CLAMP 25P SZ:3 BLK,Amp / Tyco,All World Connect,,,
0093-0000026-00-0063,5207953-2,5207953-2,Thumbs crew / Jackscrew,"SCREWLOCK 0.25"" #4-40,YEL CHRO",Amp / Tyco,All World Connect,,,
0093-0000026-01-0063,5207953-3,5207953-3,Thumbs crew / Jackscrew,"SCREWLOCK 0.25"" #4-40,CLR CHRO",Amp / Tyco,All World Connect,,,
0018-0000912-00-0063,5221185-2,5221185-2,Connector=CPC/D-Sub/IDC/BNC,"BNC PLUG 75OHM,FOR RG-59",Amp / Tyco,All World Connect,,,
0018-0002344-00-0063,5221185-8,5221185-8,Connector=CPC/D-Sub/IDC/BNC,"BNC PLUG 75OHM,FOR RG-179,-187",Amp / Tyco,All World Connect,,,
0018-0000913-00-0063,5225395-2,5225395-2,Connector=CPC/D-Sub/IDC/BNC,BNC PLUG RG59/62,Amp / Tyco,All World Connect,,,
0018-0000913-01-0063,5225395-7,5225395-7,Connector=CPC/D-Sub/IDC/BNC,"BNC PLUG RG174,188U",Amp / Tyco,All World Connect,,,
0007-0000188-00-0063,52263-1,52263-1,Cable Lug,"RING LUG,#10,AWG8,RED,STR",Amp / Tyco,All World Connect,,,
0018-0000915-00-0063,5227079-9,5227079-9,Connector=CPC/D-Sub/IDC/BNC,"BNC PLUG RG58,141",Amp / Tyco,All World Connect,,,
0018-0000914-00-0063,5227079-7,5227079-7,Connector=CPC/D-Sub/IDC/BNC,"BNC PLUG RG59,62",Amp / Tyco,All World Connect,,,
0007-0000189-00-0063,52273-2,52273-2,Cable Lug,"RING LUG #4,18AWG PIDG",Amp / Tyco,All World Connect,,,
0018-0002160-00-0063,5227726-1,5227726-1,Connector=CPC/D-Sub/IDC/BNC,BNC SKT 50OHM SOLDER,Amp / Tyco,All World Connect,,,
0007-0000043-00-0063,52929,52929,Cable Lug,SPADE #6 22~16AWG RED NYL,Amp / Tyco,All World Connect,,,
0007-0000195-00-0063,52935-2,52935-2,Cable Lug,SPADE #6 22~16 ID3.56 OD6.35,Amp / Tyco,All World Connect,,,
0007-0000196-00-0063,52936-2,52936-2,Cable Lug,SPADE #8 22~16AWG BLU NYL,Amp / Tyco,All World Connect,,,
0007-0000044-00-0063,52941,52941,Cable Lug,SPADE #6 12~10AWG YEL NYL,Amp / Tyco,All World Connect,,,
0007-0001100-00-0063,52961,52961,Cable Lug,"SPADE LUG,10-12 INS STUD #6",Amp / Tyco,All World Connect,,,
0020-0000302-00-0063,530553-6,530553-6,Contact Terminal,"TERMINAL,RCPT,AWG22~26",Amp / Tyco,All World Connect,,,
0044-0000334-00-0063,530554-5,530554-5,Housing,HOUSING,Amp / Tyco,All World Connect,,,
0007-0000198-00-0063,53120-1,53120-1,Cable Lug,SPADE #6 22-18 ID3.56 OD6.35,Amp / Tyco,All World Connect,,,
0007-0000199-00-0063,53244-1,53244-1,Cable Lug,"SPADE #8 14AWG BLU,PV",Amp / Tyco,All World Connect,,,
0020-0000418-01-0063,53880-4,53880-4,Contact Terminal,TERM POWER 10~6AWG SILVER,Amp / Tyco,All World Connect,,,
0044-0000335-00-0063,53884-1,53884-1,Housing,"HOUSING, 1 POS, BLUE",Amp / Tyco,All World Connect,,,
0044-0000336-00-0063,53884-3,53884-3,Housing,"HOUSING, 1 POS, BLACK",Amp / Tyco,All World Connect,,,
0044-0000337-00-0063,53884-4,53884-4,Housing,"HOUSING, 1 POS, RED",Amp / Tyco,All World Connect,,,
0018-0000927-00-0063,53886-1,53886-1,Connector=CPC/D-Sub/IDC/BNC,"MOUNTING ADAPTOR, FEMALE",Amp / Tyco,All World Connect,,,
0018-0000928-00-0063,53887-1,53887-1,Connector=CPC/D-Sub/IDC/BNC,"MOUNTING ADAPTOR, MALE",Amp / Tyco,All World Connect,,,
0020-0000082-00-0063,53892-4,53892-4,Contact Terminal,TERMINAL,Amp / Tyco,All World Connect,,,
0044-0000338-00-0063,53894-6,53894-6,Housing,HOUSING,Amp / Tyco,All World Connect,,,
0007-0000200-00-0063,53941-1,53941-1,Cable Lug,RING #8 16-14AWG,Amp / Tyco,All World Connect,,,
0007-0000201-00-0063,53942-1,53942-1,Cable Lug,"RING LUG #10,AWG16~14 BLU",Amp / Tyco,All World Connect,,,
0018-0000929-00-0063,54011-1,54011-1,Connector=CPC/D-Sub/IDC/BNC,"STRAIN RELIEF,CPC S17 SHL",Amp / Tyco,All World Connect,,,
0005-0000023-00-0063,54012-1,54012-1,Bushing/ Grommet/Collets/Boot,"BOOT,CPC SIZE 23,NYL BLK",Amp / Tyco,All World Connect,,,
0007-0001150-00-0063,54310-1,54310-1,Cable Lug,"RING LUG,#2/M2,AWG26-24,YEL,NL",Amp / Tyco,All World Connect,,,
0007-0000998-00-0063,54311-1,54311-1,Cable Lug,"RING LUG,#8/M4,AWG26-24,YEL,NL",Amp / Tyco,All World Connect,,,
0020-0000083-00-0063,54330-1,54330-1,Contact Terminal,TERMINAL,Amp / Tyco,All World Connect,,,
0007-0000202-00-0063,54774-1,54774-1,Cable Lug,RING CBL LUG INSULATED,Amp / Tyco,All World Connect,,,
0007-0000203-00-0063,54774-2,54774-2,Cable Lug,RING CBL LUG INS,Amp / Tyco,All World Connect,,,
0018-0000935-00-0063,552390-1,552390-1,Connector=CPC/D-Sub/IDC/BNC,"CONN,50 POS,PLUG,26-28AWG",Amp / Tyco,All World Connect,,,
0093-0000027-00-0063,552567-3,552567-3,Thumbs crew / Jackscrew,"SCREW KIT,CHAMP CONNECTOR",Amp / Tyco,All World Connect,,,
0093-0000028-00-0063,554171-1,554171-1,Thumbs crew / Jackscrew,"KEYSTONE JACK KIT,6POS,BK",Amp / Tyco,All World Connect,,,
0018-0000936-00-0063,554434-1,554434-1,Connector=CPC/D-Sub/IDC/BNC,CONN RECEPT,Amp / Tyco,All World Connect,,,
0032-0000032-00-0063,554725-5,554725-5,Ferrule,"FERRULE INNER,ID.45"",SHLD",Amp / Tyco,All World Connect,,,
0012-0000054-00-0063,554946-1,554946-1,"Covers, Clamp/Backshell/MTA","COVER KIT,50POS,SHLD,180D",Amp / Tyco,All World Connect,,,
0018-0000937-00-0063,554948-3,554948-3,Connector=CPC/D-Sub/IDC/BNC,"SHIELD PLUG KIT,24POS,M3.",Amp / Tyco,All World Connect,,,
0018-0000938-00-0063,554954-1,554954-1,Connector=CPC/D-Sub/IDC/BNC,"PLUG KIT,50POS,SCREW LOCK",Amp / Tyco,All World Connect,,,
0018-0000942-00-0063,5558067-1,5558067-1,Connector=CPC/D-Sub/IDC/BNC,"MODULAR JACK,10POS,BLK",Amp / Tyco,All World Connect,,,
0020-0000429-00-0063,556136-1 ,556136-1 ,Contact Terminal,"TERMINAL, 12~10AWG, WTW",Amp / Tyco,All World Connect,,,
0020-0000429-01-0063,556136-2 ,556136-2 ,Contact Terminal,"TERMINAL, 12~10AWG, WTW",Amp / Tyco,All World Connect,,,
0044-0000339-00-0063,556137-2,556137-2,Housing,"HOUSING, 1 POS, BLK",Amp / Tyco,All World Connect,,,
0044-0000340-00-0063,556879-3,556879-3,Housing,HOUSING PLUG 3 POS,Amp / Tyco,All World Connect,,,
0044-0000341-00-0063,556879-6,556879-6,Housing,CONN 6P PLUG WTB,Amp / Tyco,All World Connect,,,
0044-0000342-00-0063,556879-8,556879-8,Housing,HOUSING PLUG 8POS WTB,Amp / Tyco,All World Connect,,,
0020-0000419-01-0063,556880-1,556880-1,Contact Terminal,TERM RCPT WTB #10~12 TIN,Amp / Tyco,All World Connect,,,
0020-0000419-00-0063,556880-2,556880-2,Contact Terminal,TERM RCPT WTB #10~12 TIN,Amp / Tyco,All World Connect,,,
0018-0000944-00-0063,556881-8,556881-8,Connector=CPC/D-Sub/IDC/BNC,"CONN,RECPT 8 POS,VERT BLK",Amp / Tyco,All World Connect,,,
0020-0000381-01-0063,556883-1,556883-1,Contact Terminal,"TERMINAL,RECPT, AWG14~ 18",Amp / Tyco,All World Connect,,,
0070-0000006-00-0063,557313-1,557313-1,Power Supply / Adapter,MOUNTING ADAPTER,Amp / Tyco,All World Connect,,,
0086-0000044-00-0063,558527-1,558527-1,Strain Relief,S/R EXTERNAL MODULAR PLUG,Amp / Tyco,All World Connect,,,
0086-0000045-00-0063,558527-3,558527-3,Strain Relief,S/R EXTERNAL MODULAR PLUG,Amp / Tyco,All World Connect,,,
0005-0000077-00-0063,569875-1,569875-1,Bushing/ Grommet/Collets/Boot,BOOT RJ45 D:5.33MM,Amp / Tyco,All World Connect,,,
0005-0000024-00-0063,569875-5,569875-5,Bushing/ Grommet/Collets/Boot,BOOT RJ45 D:5.33MM,Amp / Tyco,All World Connect,,,
0005-0000093-00-0063,569875-6,569875-6,Bushing/ Grommet/Collets/Boot,BOOT RJ45 D:5.33MM,Amp / Tyco,All World Connect,,,
0005-0000025-00-0063,569875-8,569875-8,Bushing/ Grommet/Collets/Boot,BOOT RJ45 D:5.33MM,Amp / Tyco,All World Connect,,,
0005-0000026-00-0063,569877-1,569877-1,Bushing/ Grommet/Collets/Boot,BOOT RJ45 D:6.35MM,Amp / Tyco,All World Connect,,,
0005-0000027-00-0063,569877-8,569877-8,Bushing/ Grommet/Collets/Boot,BOOT RJ45 D:6.35MM,Amp / Tyco,All World Connect,,,
0034-0000107-00-0063,57040-1,57040-1,Flat Cable,20W CBL AWG28(7/36) P1.27,Amp / Tyco,All World Connect,,,
0034-0000108-00-0063,57040-3,57040-3,Flat Cable,26W CBL AWG28(7/36) P1.27,Amp / Tyco,All World Connect,,,
0034-0000109-00-0063,57040-4,57040-4,Flat Cable,34W CBL AWG28(7/36) P1.27,Amp / Tyco,All World Connect,,,
0018-0000961-00-0063,5745036-2,5745036-2,Connector=CPC/D-Sub/IDC/BNC,CONN IDC 25P,Amp / Tyco,All World Connect,,,
0018-0000962-00-0063,5745134-1,5745134-1,Connector=CPC/D-Sub/IDC/BNC,"HOOD,D-SUB SHELL KIT,S3,",Amp / Tyco,All World Connect,,,
0093-0000029-00-0063,5745136-2,5745136-2,Thumbs crew / Jackscrew,SCR RETAINER KIT 4-40 5.08 Y/Z,Amp / Tyco,All World Connect,,,
0012-0000055-00-0063,5745171-1,5745171-1,"Covers, Clamp/Backshell/MTA",CLAMP 9P SZ:1 ID:6.35MM,Amp / Tyco,All World Connect,,,
0012-0000056-00-0063,5745171-2,5745171-2,"Covers, Clamp/Backshell/MTA",CLAMP 9P SZ:1 ID:5.08MM,Amp / Tyco,All World Connect,,,
0012-0000057-00-0063,5745171-5,5745171-5,"Covers, Clamp/Backshell/MTA",CLAMP 9P SZ:1 ID:9.4MM,Amp / Tyco,All World Connect,,,
0012-0000058-00-0063,5745172-1,5745172-1,"Covers, Clamp/Backshell/MTA",CLAMP 15P SZ:2 ID:9.53MM,Amp / Tyco,All World Connect,,,
0012-0000059-00-0063,5745172-2,5745172-2,"Covers, Clamp/Backshell/MTA",CLAMP 15P SZ:2 ID:7.62MM,Amp / Tyco,All World Connect,,,
0012-0000060-00-0063,5745172-3,5745172-3,"Covers, Clamp/Backshell/MTA",CLAMP 15P SZ:2 ID:5.72MM,Amp / Tyco,All World Connect,,,
0012-0000061-00-0063,5745173-1,5745173-1,"Covers, Clamp/Backshell/MTA",CLAMP 25P SZ:3 ID:13.46MM,Amp / Tyco,All World Connect,,,
0012-0000062-00-0063,5745173-2,5745173-2,"Covers, Clamp/Backshell/MTA",CLAMP 25P SZ:3 ID:12.19MM,Amp / Tyco,All World Connect,,,
0012-0000063-00-0063,5745173-3,5745173-3,"Covers, Clamp/Backshell/MTA",CLAMP 25P SZ:3 ID:10.92MM,Amp / Tyco,All World Connect,,,
0012-0000064-00-0063,5745173-4,5745173-4,"Covers, Clamp/Backshell/MTA",CLAMP 25P SZ:3 ID:8.89MM,Amp / Tyco,All World Connect,,,
0012-0000065-00-0063,5745173-5,5745173-5,"Covers, Clamp/Backshell/MTA",CLAMP 25P SZ:3 ID:7.11MM,Amp / Tyco,All World Connect,,,
0012-0000066-00-0063,5745174-1,5745174-1,"Covers, Clamp/Backshell/MTA",CLAMP 37P SZ:4 ID:16.51MM,Amp / Tyco,All World Connect,,,
0012-0000067-00-0063,5745174-2,5745174-2,"Covers, Clamp/Backshell/MTA",CLAMP 37P SZ:4 OD:14.61MM,Amp / Tyco,All World Connect,,,
0012-0000068-00-0063,5745174-3,5745174-3,"Covers, Clamp/Backshell/MTA",CLAMP 37P SZ:4 OD:12.7MM,Amp / Tyco,All World Connect,,,
0012-0000069-00-0063,5745174-4,5745174-4,"Covers, Clamp/Backshell/MTA",CLAMP 37P SZ:4 ID:10.8MM,Amp / Tyco,All World Connect,,,
0012-0000070-00-0063,5745174-5,5745174-5,"Covers, Clamp/Backshell/MTA",CLAMP 37P SZ:4 OD:8.89MM,Amp / Tyco,All World Connect,,,
0012-0000071-00-0063,5745175-1,5745175-1,"Covers, Clamp/Backshell/MTA",CLAMP 50P SZ:5 ID:19.05MM,Amp / Tyco,All World Connect,,,
0012-0000072-00-0063,5745175-2,5745175-2,"Covers, Clamp/Backshell/MTA",CLAMP 50P SZ:5 ID:17.15MM,Amp / Tyco,All World Connect,,,
0012-0000073-00-0063,5745175-3,5745175-3,"Covers, Clamp/Backshell/MTA",CLAMP 50P SZ:5 ID:15.24MM,Amp / Tyco,All World Connect,,,
0012-0000074-00-0063,5745175-4,5745175-4,"Covers, Clamp/Backshell/MTA",CLAMP 50P SZ:5 ID:13.34MM,Amp / Tyco,All World Connect,,,
0012-0000318-00-0063,5745175-6,5745175-6,"Covers, Clamp/Backshell/MTA",CLAMP 50P SZ:5 ID:9.53MM,Amp / Tyco,All World Connect,,,
0093-0000030-00-0063,5745563-1,5745563-1,Thumbs crew / Jackscrew,"SCREWLOCK,FEMALE ZINC PLA",Amp / Tyco,All World Connect,,,
0093-0000031-00-0063,5745563-3,5745563-3,Thumbs crew / Jackscrew,"SCREWLOCK,FEMALE ZINC PLA",Amp / Tyco,All World Connect,,,
0086-0000046-00-0063,5745584-1,5745584-1,Strain Relief,"LATCH,SLIDE,SHELL#3,STYL2",Amp / Tyco,All World Connect,,,
0012-0000075-00-0063,5745652-2,5745652-2,"Covers, Clamp/Backshell/MTA",CLAMP 15P 90DEG ID:9.53MM,Amp / Tyco,All World Connect,,,
0012-0000076-00-0063,5745653-3,5745653-3,"Covers, Clamp/Backshell/MTA",CLAMP 25P 90DEG ID:10.92M,Amp / Tyco,All World Connect,,,
0012-0000077-00-0063,5745653-5,5745653-5,"Covers, Clamp/Backshell/MTA",CLAMP 25P 90DEG ID:7.11MM,Amp / Tyco,All World Connect,,,
0018-0000963-00-0063,5745908-2,5745908-2,Connector=CPC/D-Sub/IDC/BNC,D-SUB PLUG 15P W/CLINC,Amp / Tyco,All World Connect,,,
0018-0000964-00-0063,5746613-1,5746613-1,Connector=CPC/D-Sub/IDC/BNC,DIP PLUG CONNECTOR 8 WAY,Amp / Tyco,All World Connect,,,
0018-0001109-00-0063,5746613-2,5746613-2,Connector=CPC/D-Sub/IDC/BNC,"DIP PLUG CONNECTOR,14 POS",Amp / Tyco,All World Connect,,,
0093-0000032-00-0063,5746881-2,5746881-2,Thumbs crew / Jackscrew,SCR RETAINER KIT 4-40 7.62 C/Z,Amp / Tyco,All World Connect,,,
0018-0000965-00-0063,5747099-3,5747099-3,Connector=CPC/D-Sub/IDC/BNC,"CLAMP KIT SZ 2,CBL OD:.375""",Amp / Tyco,All World Connect,,,
0018-0002157-00-0063,5747099-7,5747099-7,Connector=CPC/D-Sub/IDC/BNC,"D-SUB BACKSHELLS,CBL OD:.225""",Amp / Tyco,All World Connect,,,
0093-0000033-00-0063,5747223-3,5747223-3,Thumbs crew / Jackscrew,SCREWLOCK FEMALE HD-20,Amp / Tyco,All World Connect,,,
0018-0000966-00-0063,5747539-1,5747539-1,Connector=CPC/D-Sub/IDC/BNC,D-SUB RCPT 15P SZ:2,Amp / Tyco,All World Connect,,,
0018-0000967-00-0063,5747904-2,5747904-2,Connector=CPC/D-Sub/IDC/BNC,9 WAY MALE SOLDER D-SUB,Amp / Tyco,All World Connect,,,
0018-0000972-00-0063,5747913-2,5747913-2,Connector=CPC/D-Sub/IDC/BNC,D-SUB RCPT 25P SOLDER,Amp / Tyco,All World Connect,,,
0018-0000975-00-0063,5747917-2,5747917-2,Connector=CPC/D-Sub/IDC/BNC,D-SUB RCPT 37W SOLDER,Amp / Tyco,All World Connect,,,
0018-0002374-00-0063,5747958-1,5747958-1,Connector=CPC/D-Sub/IDC/BNC,D-SUB 37W PLUG SHLD ENCL KIT,Amp / Tyco,All World Connect,,,
0018-0002364-00-0063,5747959-1,5747959-1,Connector=CPC/D-Sub/IDC/BNC,D-SUB 50W RCPT SHLD ENCL KIT,Amp / Tyco,All World Connect,,,
0018-0000977-00-0063,5748476-1,5748476-1,Connector=CPC/D-Sub/IDC/BNC,CONN KIT 62P PLUG HDP22,Amp / Tyco,All World Connect,,,
0012-0000328-00-0063,5748477-1,5748477-1,"Covers, Clamp/Backshell/MTA","CONN PLUG KIT,D-SUB78POS,W.JAC",Amp / Tyco,All World Connect,,,
0018-0000978-00-0063,5748526-1,5748526-1,Connector=CPC/D-Sub/IDC/BNC,D-SUB 9W PLUG SHLD CRIMP HDP20,Amp / Tyco,All World Connect,,,
0018-0000979-00-0063,5748536-1,5748536-1,Connector=CPC/D-Sub/IDC/BNC,D-SUB RCPT 9P SHLD CRIMP HDP20,Amp / Tyco,All World Connect,,,
0018-0001128-00-0063,5748634-1,5748634-1,Connector=CPC/D-Sub/IDC/BNC,D-SUB RCPT 15P KIT HDP-22,Amp / Tyco,All World Connect,,,
0012-0000327-00-0063,5748641-1,5748641-1,"Covers, Clamp/Backshell/MTA","CONN RCPT KIT,D-SUB44POS,W.JAC",Amp / Tyco,All World Connect,,,
0018-0000980-00-0063,5748642-1,5748642-1,Connector=CPC/D-Sub/IDC/BNC,CONN KIT RCPT 62P HDP22,Amp / Tyco,All World Connect,,,
0012-0000078-00-0063,5748676-1,5748676-1,"Covers, Clamp/Backshell/MTA",CLAMP 9P S1 DIE CAST,Amp / Tyco,All World Connect,,,
0012-0000079-00-0063,5748676-2,5748676-2,"Covers, Clamp/Backshell/MTA",CLAMP 15P S2 DIE CAST,Amp / Tyco,All World Connect,,,
0012-0000080-00-0063,5748676-3,5748676-3,"Covers, Clamp/Backshell/MTA",CLAMP 25P S3 6.48~11.94MM,Amp / Tyco,All World Connect,,,
0012-0000081-00-0063,5748676-4,5748676-4,"Covers, Clamp/Backshell/MTA",CLAMP 37P S4 DIE CAST,Amp / Tyco,All World Connect,,,
0012-0000082-00-0063,5748676-5,5748676-5,"Covers, Clamp/Backshell/MTA",CLAMP 50P S5 DIE CAST,Amp / Tyco,All World Connect,,,
0012-0000083-00-0063,5748677-1,5748677-1,"Covers, Clamp/Backshell/MTA",CLAMP 9P S1 METAL-PLASTIC,Amp / Tyco,All World Connect,,,
0012-0000084-00-0063,5748677-2,5748677-2,"Covers, Clamp/Backshell/MTA",CLAMP 15P S2 METAL-PLASTI,Amp / Tyco,All World Connect,,,
0012-0000085-00-0063,5748677-3,5748677-3,"Covers, Clamp/Backshell/MTA",CLAMP 25P S3 METAL-PLASTI,Amp / Tyco,All World Connect,,,
0012-0000086-00-0063,5748677-4,5748677-4,"Covers, Clamp/Backshell/MTA",CLAMP 37P S4 METAL-PLASTI,Amp / Tyco,All World Connect,,,
0012-0000087-00-0063,5748678-2,5748678-2,"Covers, Clamp/Backshell/MTA",CLAMP 15P S2 ABS BLK,Amp / Tyco,All World Connect,,,
