Internal Reference,Name,aw_mfg_part_no,Product Category,Description,Manufacturer,Company,,,
0018-0002428-00-0002,152250-0110-GB,152250-0110-GB,Connector=CPC/D-Sub/IDC/BNC,"IDC SKT,2 X 25-POS,28 AWG,P2MM",3m,All World Connect,,,
0034-0000017-00-0002,1700/14,1700/14,Flat Cable,FLAT CABLE 7TWPR 28AWG,3m,All World Connect,,,
0034-0000018-00-0002,1700/16,1700/16,Flat Cable,FLAT CABLE 8TWPR 28AWG,3m,All World Connect,,,
0034-0000019-00-0002,1700/20,1700/20,Flat Cable,FLAT CABLE 10TWPR 28AWG,3m,All World Connect,,,
0040-0000048-00-0002,2510-6002UB,2510-6002UB,Header,"HEADER,BOX,10POS,2R,P2.54",3m,All World Connect,,,
0034-0000024-00-0002,3302/10,3302/10,Flat Cable,UL20462 20C 28AWG FLAT,3m,All World Connect,,,
0034-0000025-00-0002,3302/12,3302/12,Flat Cable,UL20462 12C 28AWG FLAT,3m,All World Connect,,,
0034-0000026-00-0002,3302/14,3302/14,Flat Cable,UL20462 14C 28AWG FLAT,3m,All World Connect,,,
0034-0000027-00-0002,3302/16,3302/16,Flat Cable,UL20462 16C 28AWG FLAT,3m,All World Connect,,,
0034-0000028-00-0002,3302/20,3302/20,Flat Cable,UL20462 20C 28AWG FLAT,3m,All World Connect,,,
0034-0000029-00-0002,3302/26,3302/26,Flat Cable,UL20462 26C 28AWG FLAT,3m,All World Connect,,,
0034-0000030-00-0002,3302/50,3302/50,Flat Cable,UL20462 50C 28AWG FLAT,3m,All World Connect,,,
0034-0000031-00-0002,3302/64,3302/64,Flat Cable,UL20462 64C 28AWG FLAT,3m,All World Connect,,,
0034-0000255-00-0002,3302/9,3302/9,Flat Cable,UL20462 9C 28AWG FLAT,3m,All World Connect,,,
0034-0000032-00-0002,3319/10,3319/10,Flat Cable,UL2651 10C 28AWG 19/40,3m,All World Connect,,,
